country,price
US-France,50.0
England,47.5
France,45.61988501859993
Hungary,44.20434782608696
Luxembourg,40.666666666666664
Germany,39.011077971879
Italy,37.54791311754685
Canada,34.628865979381445
US,33.65380839730282
Israel,31.304918032786887
Australia,31.258479771148345
Austria,31.192106322996377
Mexico,29.095238095238095
Slovenia,28.061728395061728
Spain,27.048529411764704
Switzerland,26.5
Portugal,26.332614942528735
Turkey,25.88235294117647
Uruguay,25.847058823529412
Lebanon,25.43243243243243
Serbia,24.285714285714285
New Zealand,24.173289902280132
Japan,24.0
Croatia,23.10843373493976
Greece,21.742268041237114
South Africa,21.13053196244971
Argentina,20.794880973688922
China,20.333333333333332
Albania,20.0
Brazil,19.92
Chile,19.342520367481367
Morocco,18.833333333333332
Georgia,18.58139534883721
Czech Republic,18.0
Romania,16.39568345323741
Cyprus,15.483870967741936
Moldova,15.366197183098592
Slovakia,15.333333333333334
Macedonia,15.3125
India,13.875
South Korea,13.5
Ukraine,13.0
Bosnia and Herzegovina,12.75
Bulgaria,11.545454545454545
Lithuania,10.0
Montenegro,10.0
